Item #,Designator,Component,Quantity,Manufacturer,MPN,Description,Mount Type,Notes,Notes 2,Datasheet,
1,R1,86.6 Ohm resistor,1,YAGEO,RC0805FR-0786R6L,RES 86.6 OHM 1% 1/8W 0805,SMD,Specific manufacturer not important. Selected to work with specific LED's luminosity levels.,For Yellow LED.,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
2,R2,549 Ohm resistor,1,YAGEO,RC0805FR-07549RL,RES 549 OHM 1% 1/8W 0805,SMD,Specific manufacturer not important. Selected to work with specific LED's luminosity levels.,For Red LED.,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L ,
3,R3,178 Ohm resistor,1,YAGEO,RC0805FR-07178RL,RES 178 OHM 1% 1/8W 0805,SMD,Specific manufacturer not important. Selected to work with specific LED's luminosity levels.,For Green LED.,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L ,
4,R4,40.2 Ohm resistor,1,YAGEO,RC0805FR-0740R2L,RES 40.2 OHM 1% 1/8W 0805,SMD,Specific manufacturer not important. Selected to work with specific LED's luminosity levels.,For Blue LED.,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L ,
5,"R5,R6",10k Ohm resistors,2,YAGEO,RC0805JR-0710KL,RES 10K OHM 5% 1/8W 0805,SMD,Specific manufacturer not important.,,https://calchip.com/wp-content/uploads/2025/05/RMSERIES-052225.pdf,
6,"S1,S2",Buttons,2,E-Switch,TL3300DF160Q,SWITCH TACTILE SPST-NO 0.05A 12V,SMD,Specific manufacturer not important.,Off-mom,https://configured-product-images.s3.amazonaws.com/Datasheets/TL3300.pdf,
7,LED1,LED Yellow,1,Kingbright,AA3528LSYCKT/J3,LED YELLOW CLEAR 2SMD,SMD,Specific manufacturer not important (as long as they work with the resistors).,"1.85V, 2mA",https://www.kingbrightusa.com/images/catalog/SPEC/AA3528LSYCKT-J3.pdf,
8,LED2,LED Red,1,Kingbright,AA3528LSECKT/J3,LED RED CLEAR 2SMD,SMD,Specific manufacturer not important (as long as they work with the resistors).,"1.8V, 2mA",https://www.kingbrightusa.com/images/catalog/SPEC/AA3528LSECKT-J3.pdf,
9,LED3,LED Green,1,Kingbright,AA3528LZGCKT,LED GREEN CLEAR 2SMD,SMD,Specific manufacturer not important (as long as they work with the resistors).,"2.65V, 2mA",https://www.kingbrightusa.com/images/catalog/SPEC/AA3528LZGCKT.pdf,
10,LED4,LED Blue,1,Kingbright,AA3528LVBS/D,LED BLUE CLEAR 2SMD,SMD,Specific manufacturer not important (as long as they work with the resistors).,"2.65V, 2mA",https://www.kingbrightusa.com/images/catalog/SPEC/AA3528LVBS-D.pdf,
11,U1,ATMEGA 328PB,1,Microchip Technology,ATMEGA328PB-AU,IC MCU 8BIT 32KB FLASH 32TQFP,SMD,This is the important component (for programming).,,https://ww1.microchip.com/downloads/en/DeviceDoc/40001907A.pdf ,
12,C1,Capacitor 0.1 µF,1,Murata Power Solutions Inc.,GCM21BR72A104KA37L,CAP CER 0.1UF 100V X7R 0805,SMD,Specific manufacturer not important.,,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCJ188R71H104KA12-02B.pdf,
13,BT1,Battery Holder,1,Adam Tech,BH-67D-5,BATTERY RETAINER COIN 20MM SMD,SMD,"Specific manufacturer not important. Please make sure the battery insertion side is facing up towards the near edge of the board, not down (because then the capacitor is in the way). Yes solder paste on the middle tab (I have tried to indicate this in the PCB but I think I have not done it correctly.)",,https://app.adam-tech.com/products/download/data_sheet/196975/bh-67d-5-data-sheet.pdf ,
-,ICSP1,Surface Pads,(1),Tag Connect,(for the TC2030-IDC-NL),Surface Pads and Holes (pads-only ICSP),(DNP),DNP,This is just the pads and holes on the PCB. No part to order.,https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/2019/12/TC2030-IDC-NL-Datasheet-Rev-B.pdf ,
